label,type,caption,alt_text
a,figure,,"Stacked time series of total widow rockfish catches, showing low catches up to 1979, a peak around 1980 averaging around 30000 tons, an average around 10000 tons from 1983 to the late 1990s, low catches from there up to 2016, and average around 10000 tons again from 2017 to 2024. See Table 10 for values."
b,figure,,"Starting in 1916, spawning output was about 21.1 trillion eggs, fell to a low of about 4.6 trillion in 1998, rose to a 2010s high of about 15.4 trillion in 2017, and was about 10.6 trillion in 2025. See Table 20 for values."
c,figure,,"The fraction of unfished spawning output dropped to a low of about 0.22 in 1998, rose to a high of 0.73 in 2017 and ended around 0.5 in 2025. See Table 20 for values."
d,figure,,"The range of age-0 recruitment estimates was from a low of about 9 million in 2012 to about 132 million in 1970 with 2025 at about 37 million which is close to the long-term median. See Table 20 for values."
e,figure,,"Phase plot shows counter-clockwise spiral with final point in the upper-right quadrant indicating that the stock is currently above the SPR target but above the target fraction unfished. Uncertainty is strongly negatively correlated such that lower fraction unfished is associated with higher relative fishing intensity. See Table 20 for values."
catches-all,figure,,"Stacked time series of total widow rockfish catches, showing low catches up to 1979, a peak around 1980 averaging around 30000 tons, an average around 10000 tons from 1983 to the late 1990s, low catches from there up to 2016, and average around 10000 tons again from 2017 to 2024. See Table 10 for values."
data-plot-base,figure,,"Timeline-style plot showing which data sources by type and year were used in the base model with catches extending back to 1916 but most other data sources starting in the 1970s or later."
qq-sdmtmb,figure,,"Two Q-Q plots compare model residual quantiles to theoretical quantiles for delta-gamma and delta-lognormal sdmTMB index fits. The presence/absence component is close to the one-to-one line, indicating a better fit, while the catch-rate component shows more deviation from the one-to-one line."
absurv-compare,figure,,"Colored lines showing similar trends among alternative statistical approaches to error standardization."
exp-lencomp-WCBTS,figure,,"Bubble plot showing noisy distribution with large amounts of variability in observed lengths among years."
cond-agelen-WCBTS,figure,,"Bubble plot showing similar patterns of age at length, with smaller length bins showing rapid growth up to around age 20 and larger bins showing a wide range of older ages up to 40."
lencomp-fleet1,figure,,"Bubble plot showing relatively consistent length compositions for the bottom trawl fishery with some evidence of large cohorts moving through the population and a mode around 40 cm."
lencomp-fleet2,figure,,"Similar bubble plot to the bottom trawl fishery above."
lencomp-fleet3,figure,,"Similar bubble plot to the bottom trawl and midwater fishery above, with slightly sparser samples."
